Sample	Target	Reads
N18	perk_nuc_scf7180000003752_5410-7175_739-1757_1	41685
N18	perk_nuc_scf7180000003610_11439-12994_245-1203_1	0
N18	paramoeba_nuc_9042c6bc-20c4-4666-9a3b-25d3d5e60837_173-683_1	0
N18	perk_nuc_scf7180000003402_73455-74100_1	1712498
N18	perk_nuc_scf7180000003352_71298-72206_1-908_1	2114584
N18	perk_nuc_scf7180000003591_3414-9913_1-2291_901	906
N18	perk_nuc_scf7180000003334_39138-40969_372-1777_1	42587
N18	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1801	7197
N18	perk_nuc_scf7180000003602_54737-56021_1-1284_1	148327
N18	perk_nuc_scf7180000003687_22701-24808_4-2107_901	164483
N18	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1351	3
N18	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_1351	0
N18	perk_nuc_scf7180000003687_22703-23724_2-1021_1	86501
N18	perk_nuc_scf7180000003411_95621-97517_1-1896_1	81437
N18	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1	8768
N18	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_451	1254
N18	perk_nuc_scf7180000003687_28378-29539_1-1161_1	162380
N18	perk_nuc_scf7180000003660_28831-29439_1	1587
N18	perk_nuc_scf7180000003435_20352-22534_1-2182_901	0
N18	perk_nuc_scf7180000003435_21523-22534_1-1011_1	1890
N18	perk_nuc_scf7180000003334_14360-15471_115-1021_1	268629
N18	paramoeba_nuc_scf7180000003402_66620-67222_1	179584
N18	perk_nuc_scf7180000003316_105075-106432_82-1354_1	30903
N18	paramoeba_nuc_scf7180000003517_25093-25627_1	2318
N18	perk_nuc_scf7180000003478_19048-20119_1-1071_1	366
N18	perk_nuc_scf7180000003897_23035-23940_1-905_1	14904
N18	perk_nuc_scf7180000003532_6044-7296_4-1252_1	101724
N18	paramoeba_nuc_b2668679-a471-4ab8-bea4-f5898a7a47e4_2-467_1	12993
N18	perk_nuc_scf7180000003402_72046-72895_1	3636
N18	perk_nuc_scf7180000003709_72424-73568_3-1144_1	94697
N18	paramoeba_nuc_91d69197-72f2-4926-90b3-b5a468a5a855_27-765_1	18
N18	perk_nuc_scf7180000003560_925-2762_1-1837_901	391117
N18	perk_nuc_scf7180000003326_75881-76823_1-942_1	20554
N18	perk_nuc_scf7180000003897_16527-17683_3-1156_1	2477869
N18	perk_nuc_scf7180000003913_1473-2529_1-1056_1	469505
N18	perk_nuc_scf7180000003454_34019-35215_1-1193_1	5169
N18	perk_nuc_scf7180000003515_97413-101057_1-3580_1501	86
N18	perk_nuc_scf7180000003515_97393-101483_18-3600_901	138376
N18	paramoeba_nuc_1470934d-65f8-451a-be8f-f65c6f0f857d_1-523_1	4046
N18	paramoeba_mito_scf7180000003282_5381-6781_1	228902
N18	paramoeba_nuc_scf7180000004653_9090-9584_1	605828
N21	paramoeba_mito_scf7180000003282_17181-17683_1	500
N21	perk_mito_lcl_KT261385.1_cds_ALR73785.1_1_2251	0
N21	paramoeba_nuc_scf7180000003537_4360-5238_1	114
N21	paramoeba_mito_844d98a6-101b-424e-82ab-b4beb7985a5e_16-472_1	16519
N21	perk_mito_lcl_KT261385.1_cds_ALR73787.1_3_1	0
N21	paramoeba_mito_d9f872cc-4915-4218-bcca-14a2b2446441_79-629_1	166320
N21	paramoeba_mito_scf7180000003282_72335-73819_451	60197
N21	paramoeba_mito_scf7180000003282_2577-3764_451	5158
N21	paramoeba_nuc_2474b264-82c9-41bc-83f7-da2b5b94a433_93-564_1	1330
N21	paramoeba_mito_scf7180000003282_37622-38599_451	37820
N21	perk_mito_lcl_KT261384.1_cds_ALR73784.1_2_1	29
N21	perk_nuc_scf7180000003402_73894-74460_1	32706
N21	perk_nuc_scf7180000003591_3416-4408_1-990_1	53126
N21	perk_nuc_scf7180000003623_28906-30006_1-1100_1	38563
N21	perk_nuc_scf7180000003752_5410-7175_739-1757_1	37936
N21	perk_nuc_scf7180000003610_11439-12994_245-1203_1	0
N21	paramoeba_nuc_9042c6bc-20c4-4666-9a3b-25d3d5e60837_173-683_1	0
N21	perk_nuc_scf7180000003402_73455-74100_1	1474337
N21	perk_nuc_scf7180000003352_71298-72206_1-908_1	1656786
N21	perk_nuc_scf7180000003591_3414-9913_1-2291_901	890
N21	perk_nuc_scf7180000003334_39138-40969_372-1777_1	52561
N21	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1801	1178
N21	perk_nuc_scf7180000003602_54737-56021_1-1284_1	148846
N21	perk_nuc_scf7180000003687_22701-24808_4-2107_901	115604
N21	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1351	0
N21	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_1351	0
N21	perk_nuc_scf7180000003687_22703-23724_2-1021_1	91355
N21	perk_nuc_scf7180000003411_95621-97517_1-1896_1	64979
N21	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1	13099
N21	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_451	869
N21	perk_nuc_scf7180000003687_28378-29539_1-1161_1	116447
N21	perk_nuc_scf7180000003660_28831-29439_1	3784
N21	perk_nuc_scf7180000003435_20352-22534_1-2182_901	0
N21	perk_nuc_scf7180000003435_21523-22534_1-1011_1	1639
N21	perk_nuc_scf7180000003334_14360-15471_115-1021_1	342630
N21	paramoeba_nuc_scf7180000003402_66620-67222_1	152136
N21	perk_nuc_scf7180000003316_105075-106432_82-1354_1	14618
N21	paramoeba_nuc_scf7180000003517_25093-25627_1	1895
N21	perk_nuc_scf7180000003478_19048-20119_1-1071_1	67
N21	perk_nuc_scf7180000003897_23035-23940_1-905_1	5027
N21	perk_nuc_scf7180000003532_6044-7296_4-1252_1	58738
N21	paramoeba_nuc_b2668679-a471-4ab8-bea4-f5898a7a47e4_2-467_1	12417
N21	perk_nuc_scf7180000003402_72046-72895_1	4625
N21	perk_nuc_scf7180000003709_72424-73568_3-1144_1	80696
N21	paramoeba_nuc_91d69197-72f2-4926-90b3-b5a468a5a855_27-765_1	22
N21	perk_nuc_scf7180000003560_925-2762_1-1837_901	321822
N21	perk_nuc_scf7180000003326_75881-76823_1-942_1	22089
N21	perk_nuc_scf7180000003897_16527-17683_3-1156_1	2096442
N21	perk_nuc_scf7180000003913_1473-2529_1-1056_1	353765
N21	perk_nuc_scf7180000003454_34019-35215_1-1193_1	4821
N21	perk_nuc_scf7180000003515_97413-101057_1-3580_1501	27
N21	perk_nuc_scf7180000003515_97393-101483_18-3600_901	107149
