Sample	Target	Reads
N36	perk_nuc_scf7180000003334_39138-40969_372-1777_1	7081
N36	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1801	968
N36	perk_nuc_scf7180000003602_54737-56021_1-1284_1	31080
N36	perk_nuc_scf7180000003687_22701-24808_4-2107_901	21113
N36	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1351	29
N36	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_1351	28
N36	perk_nuc_scf7180000003687_22703-23724_2-1021_1	28214
N36	perk_nuc_scf7180000003411_95621-97517_1-1896_1	25511
N36	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1	1320
N36	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_451	9483
N36	perk_nuc_scf7180000003687_28378-29539_1-1161_1	27839
N36	perk_nuc_scf7180000003660_28831-29439_1	5927
N36	perk_nuc_scf7180000003435_20352-22534_1-2182_901	0
N36	perk_nuc_scf7180000003435_21523-22534_1-1011_1	3260
N36	perk_nuc_scf7180000003334_14360-15471_115-1021_1	16567
N36	paramoeba_nuc_scf7180000003402_66620-67222_1	35922
N36	perk_nuc_scf7180000003316_105075-106432_82-1354_1	9288
N36	paramoeba_nuc_scf7180000003517_25093-25627_1	336
N36	perk_nuc_scf7180000003478_19048-20119_1-1071_1	3794
N36	perk_nuc_scf7180000003897_23035-23940_1-905_1	1854
N36	perk_nuc_scf7180000003532_6044-7296_4-1252_1	10985
N36	paramoeba_nuc_b2668679-a471-4ab8-bea4-f5898a7a47e4_2-467_1	638
N36	perk_nuc_scf7180000003402_72046-72895_1	315
N36	perk_nuc_scf7180000003709_72424-73568_3-1144_1	14612
N36	paramoeba_nuc_91d69197-72f2-4926-90b3-b5a468a5a855_27-765_1	146
N36	perk_nuc_scf7180000003560_925-2762_1-1837_901	28168
N36	perk_nuc_scf7180000003326_75881-76823_1-942_1	3169
N36	perk_nuc_scf7180000003897_16527-17683_3-1156_1	131829
N36	perk_nuc_scf7180000003913_1473-2529_1-1056_1	28573
N36	perk_nuc_scf7180000003454_34019-35215_1-1193_1	2452
N36	perk_nuc_scf7180000003515_97413-101057_1-3580_1501	12118
N36	perk_nuc_scf7180000003515_97393-101483_18-3600_901	21060
N36	paramoeba_nuc_1470934d-65f8-451a-be8f-f65c6f0f857d_1-523_1	1829
N36	paramoeba_mito_scf7180000003282_5381-6781_1	207485
N36	paramoeba_nuc_scf7180000004653_9090-9584_1	333141
N37	paramoeba_mito_scf7180000003282_17181-17683_1	111298
N37	perk_mito_lcl_KT261385.1_cds_ALR73785.1_1_2251	0
N37	paramoeba_nuc_scf7180000003537_4360-5238_1	7299
N37	paramoeba_mito_844d98a6-101b-424e-82ab-b4beb7985a5e_16-472_1	509138
N37	perk_mito_lcl_KT261385.1_cds_ALR73787.1_3_1	0
N37	paramoeba_mito_d9f872cc-4915-4218-bcca-14a2b2446441_79-629_1	997252
N37	paramoeba_mito_scf7180000003282_72335-73819_451	183649
N37	paramoeba_mito_scf7180000003282_2577-3764_451	54042
N37	paramoeba_nuc_2474b264-82c9-41bc-83f7-da2b5b94a433_93-564_1	16595
N37	paramoeba_mito_scf7180000003282_37622-38599_451	168583
N37	perk_mito_lcl_KT261384.1_cds_ALR73784.1_2_1	0
N37	perk_nuc_scf7180000003402_73894-74460_1	256151
N37	perk_nuc_scf7180000003591_3416-4408_1-990_1	3098
N37	perk_nuc_scf7180000003623_28906-30006_1-1100_1	54365
N37	perk_nuc_scf7180000003752_5410-7175_739-1757_1	76283
N37	perk_nuc_scf7180000003610_11439-12994_245-1203_1	0
N37	paramoeba_nuc_9042c6bc-20c4-4666-9a3b-25d3d5e60837_173-683_1	25
N37	perk_nuc_scf7180000003402_73455-74100_1	3858023
N37	perk_nuc_scf7180000003352_71298-72206_1-908_1	2176647
N37	perk_nuc_scf7180000003591_3414-9913_1-2291_901	12118
N37	perk_nuc_scf7180000003334_39138-40969_372-1777_1	23656
N37	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1801	8666
N37	perk_nuc_scf7180000003602_54737-56021_1-1284_1	291171
N37	perk_nuc_scf7180000003687_22701-24808_4-2107_901	244592
N37	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1351	17
N37	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_1351	3
N37	perk_nuc_scf7180000003687_22703-23724_2-1021_1	149657
N37	perk_nuc_scf7180000003411_95621-97517_1-1896_1	151081
N37	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1	22794
N37	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_451	1265
N37	perk_nuc_scf7180000003687_28378-29539_1-1161_1	233613
N37	perk_nuc_scf7180000003660_28831-29439_1	3184
N37	perk_nuc_scf7180000003435_20352-22534_1-2182_901	0
N37	perk_nuc_scf7180000003435_21523-22534_1-1011_1	10525
N37	perk_nuc_scf7180000003334_14360-15471_115-1021_1	244737
N37	paramoeba_nuc_scf7180000003402_66620-67222_1	259372
N37	perk_nuc_scf7180000003316_105075-106432_82-1354_1	22469
N37	paramoeba_nuc_scf7180000003517_25093-25627_1	11774
N37	perk_nuc_scf7180000003478_19048-20119_1-1071_1	2010
N37	perk_nuc_scf7180000003897_23035-23940_1-905_1	20154
N37	perk_nuc_scf7180000003532_6044-7296_4-1252_1	86389
N37	paramoeba_nuc_b2668679-a471-4ab8-bea4-f5898a7a47e4_2-467_1	14352
N37	perk_nuc_scf7180000003402_72046-72895_1	7897
N37	perk_nuc_scf7180000003709_72424-73568_3-1144_1	115739
N37	paramoeba_nuc_91d69197-72f2-4926-90b3-b5a468a5a855_27-765_1	3315
N37	perk_nuc_scf7180000003560_925-2762_1-1837_901	336221
N37	perk_nuc_scf7180000003326_75881-76823_1-942_1	42671
N37	perk_nuc_scf7180000003897_16527-17683_3-1156_1	1798454
N37	perk_nuc_scf7180000003913_1473-2529_1-1056_1	276490
N37	perk_nuc_scf7180000003454_34019-35215_1-1193_1	46495
N37	perk_nuc_scf7180000003515_97413-101057_1-3580_1501	81
N37	perk_nuc_scf7180000003515_97393-101483_18-3600_901	152531
N37	paramoeba_nuc_1470934d-65f8-451a-be8f-f65c6f0f857d_1-523_1	2260
N37	paramoeba_mito_scf7180000003282_5381-6781_1	1463832
N37	paramoeba_nuc_scf7180000004653_9090-9584_1	1959825
N38	paramoeba_mito_scf7180000003282_17181-17683_1	2748
N38	perk_mito_lcl_KT261385.1_cds_ALR73785.1_1_2251	0
N38	paramoeba_nuc_scf7180000003537_4360-5238_1	272
N38	paramoeba_mito_844d98a6-101b-424e-82ab-b4beb7985a5e_16-472_1	28035
N38	perk_mito_lcl_KT261385.1_cds_ALR73787.1_3_1	0
N38	paramoeba_mito_d9f872cc-4915-4218-bcca-14a2b2446441_79-629_1	299050
N38	paramoeba_mito_scf7180000003282_72335-73819_451	132627
N38	paramoeba_mito_scf7180000003282_2577-3764_451	9710
N38	paramoeba_nuc_2474b264-82c9-41bc-83f7-da2b5b94a433_93-564_1	7231
N38	paramoeba_mito_scf7180000003282_37622-38599_451	18828
N38	perk_mito_lcl_KT261384.1_cds_ALR73784.1_2_1	0
N38	perk_nuc_scf7180000003402_73894-74460_1	222297
N38	perk_nuc_scf7180000003591_3416-4408_1-990_1	88251
N38	perk_nuc_scf7180000003623_28906-30006_1-1100_1	45923
N38	perk_nuc_scf7180000003752_5410-7175_739-1757_1	63308
N38	perk_nuc_scf7180000003610_11439-12994_245-1203_1	0
N38	paramoeba_nuc_9042c6bc-20c4-4666-9a3b-25d3d5e60837_173-683_1	0
N38	perk_nuc_scf7180000003402_73455-74100_1	2117896
N38	perk_nuc_scf7180000003352_71298-72206_1-908_1	2523811
N38	perk_nuc_scf7180000003591_3414-9913_1-2291_901	18107
N38	perk_nuc_scf7180000003334_39138-40969_372-1777_1	31952
N38	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1801	7847
N38	perk_nuc_scf7180000003602_54737-56021_1-1284_1	85388
N38	perk_nuc_scf7180000003687_22701-24808_4-2107_901	149332
N38	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1351	0
N38	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_1351	7
N38	perk_nuc_scf7180000003687_22703-23724_2-1021_1	122652
N38	perk_nuc_scf7180000003411_95621-97517_1-1896_1	66365
N38	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1	37851
N38	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_451	4816
N38	perk_nuc_scf7180000003687_28378-29539_1-1161_1	251277
N38	perk_nuc_scf7180000003660_28831-29439_1	9762
N38	perk_nuc_scf7180000003435_20352-22534_1-2182_901	0
N38	perk_nuc_scf7180000003435_21523-22534_1-1011_1	35281
N38	perk_nuc_scf7180000003334_14360-15471_115-1021_1	349863
N38	paramoeba_nuc_scf7180000003402_66620-67222_1	266150
N38	perk_nuc_scf7180000003316_105075-106432_82-1354_1	43195
N38	paramoeba_nuc_scf7180000003517_25093-25627_1	6514
N38	perk_nuc_scf7180000003478_19048-20119_1-1071_1	164
N38	perk_nuc_scf7180000003897_23035-23940_1-905_1	14700
N38	perk_nuc_scf7180000003532_6044-7296_4-1252_1	59246
N38	paramoeba_nuc_b2668679-a471-4ab8-bea4-f5898a7a47e4_2-467_1	28162
N38	perk_nuc_scf7180000003402_72046-72895_1	8116
N38	perk_nuc_scf7180000003709_72424-73568_3-1144_1	90970
N38	paramoeba_nuc_91d69197-72f2-4926-90b3-b5a468a5a855_27-765_1	220
N38	perk_nuc_scf7180000003560_925-2762_1-1837_901	291705
N38	perk_nuc_scf7180000003326_75881-76823_1-942_1	69147
N38	perk_nuc_scf7180000003897_16527-17683_3-1156_1	2702
N38	perk_nuc_scf7180000003913_1473-2529_1-1056_1	435933
N38	perk_nuc_scf7180000003454_34019-35215_1-1193_1	3478
N38	perk_nuc_scf7180000003515_97413-101057_1-3580_1501	54
N38	perk_nuc_scf7180000003515_97393-101483_18-3600_901	160171
N38	paramoeba_nuc_1470934d-65f8-451a-be8f-f65c6f0f857d_1-523_1	19696
N38	paramoeba_mito_scf7180000003282_5381-6781_1	312844
N38	paramoeba_nuc_scf7180000004653_9090-9584_1	1031727
N3	paramoeba_mito_scf7180000003282_17181-17683_1	75272
N3	perk_mito_lcl_KT261385.1_cds_ALR73785.1_1_2251	0
N3	paramoeba_nuc_scf7180000003537_4360-5238_1	131
N3	paramoeba_mito_844d98a6-101b-424e-82ab-b4beb7985a5e_16-472_1	60
N3	perk_mito_lcl_KT261385.1_cds_ALR73787.1_3_1	156
N3	paramoeba_mito_d9f872cc-4915-4218-bcca-14a2b2446441_79-629_1	12648
N3	paramoeba_mito_scf7180000003282_72335-73819_451	1103
N3	paramoeba_mito_scf7180000003282_2577-3764_451	1107
N3	paramoeba_nuc_2474b264-82c9-41bc-83f7-da2b5b94a433_93-564_1	336
N3	paramoeba_mito_scf7180000003282_37622-38599_451	724
N3	perk_mito_lcl_KT261384.1_cds_ALR73784.1_2_1	0
N3	perk_nuc_scf7180000003402_73894-74460_1	82043
N3	perk_nuc_scf7180000003591_3416-4408_1-990_1	126582
N3	perk_nuc_scf7180000003623_28906-30006_1-1100_1	20895
N3	perk_nuc_scf7180000003752_5410-7175_739-1757_1	56198
N3	perk_nuc_scf7180000003610_11439-12994_245-1203_1	0
N3	paramoeba_nuc_9042c6bc-20c4-4666-9a3b-25d3d5e60837_173-683_1	0
N3	perk_nuc_scf7180000003402_73455-74100_1	2781436
N3	perk_nuc_scf7180000003352_71298-72206_1-908_1	2971155
N3	perk_nuc_scf7180000003591_3414-9913_1-2291_901	13797
N3	perk_nuc_scf7180000003334_39138-40969_372-1777_1	3540
N3	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1801	1884
N3	perk_nuc_scf7180000003602_54737-56021_1-1284_1	926818
N3	perk_nuc_scf7180000003687_22701-24808_4-2107_901	389676
N3	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1351	34
N3	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_1351	305
N3	perk_nuc_scf7180000003687_22703-23724_2-1021_1	905729
N3	perk_nuc_scf7180000003411_95621-97517_1-1896_1	287705
N3	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1	17282
N3	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_451	143788
N3	perk_nuc_scf7180000003687_28378-29539_1-1161_1	861928
N3	perk_nuc_scf7180000003660_28831-29439_1	180
N3	perk_nuc_scf7180000003435_20352-22534_1-2182_901	0
N3	perk_nuc_scf7180000003435_21523-22534_1-1011_1	2231
N3	perk_nuc_scf7180000003334_14360-15471_115-1021_1	500058
N3	paramoeba_nuc_scf7180000003402_66620-67222_1	209193
N3	perk_nuc_scf7180000003316_105075-106432_82-1354_1	164548
N3	paramoeba_nuc_scf7180000003517_25093-25627_1	337
N3	perk_nuc_scf7180000003478_19048-20119_1-1071_1	420
N3	perk_nuc_scf7180000003897_23035-23940_1-905_1	12148
N3	perk_nuc_scf7180000003532_6044-7296_4-1252_1	227387
N3	paramoeba_nuc_b2668679-a471-4ab8-bea4-f5898a7a47e4_2-467_1	6667
N3	perk_nuc_scf7180000003402_72046-72895_1	1318
N3	perk_nuc_scf7180000003709_72424-73568_3-1144_1	1191576
N3	paramoeba_nuc_91d69197-72f2-4926-90b3-b5a468a5a855_27-765_1	131
N3	perk_nuc_scf7180000003560_925-2762_1-1837_901	531279
N3	perk_nuc_scf7180000003326_75881-76823_1-942_1	50253
N3	perk_nuc_scf7180000003897_16527-17683_3-1156_1	3042938
N3	perk_nuc_scf7180000003913_1473-2529_1-1056_1	1217095
N3	perk_nuc_scf7180000003454_34019-35215_1-1193_1	14554
N3	perk_nuc_scf7180000003515_97413-101057_1-3580_1501	134
N3	perk_nuc_scf7180000003515_97393-101483_18-3600_901	1393217
N3	paramoeba_nuc_1470934d-65f8-451a-be8f-f65c6f0f857d_1-523_1	8646
N3	paramoeba_mito_scf7180000003282_5381-6781_1	12112
N3	paramoeba_nuc_scf7180000004653_9090-9584_1	186169
N41	paramoeba_mito_scf7180000003282_17181-17683_1	92882
N41	perk_mito_lcl_KT261385.1_cds_ALR73785.1_1_2251	0
N41	paramoeba_nuc_scf7180000003537_4360-5238_1	22846
N41	paramoeba_mito_844d98a6-101b-424e-82ab-b4beb7985a5e_16-472_1	32919
N41	perk_mito_lcl_KT261385.1_cds_ALR73787.1_3_1	60833
N41	paramoeba_mito_d9f872cc-4915-4218-bcca-14a2b2446441_79-629_1	220888
N41	paramoeba_mito_scf7180000003282_72335-73819_451	131543
N41	paramoeba_mito_scf7180000003282_2577-3764_451	11079
N41	paramoeba_nuc_2474b264-82c9-41bc-83f7-da2b5b94a433_93-564_1	22973
N41	paramoeba_mito_scf7180000003282_37622-38599_451	28118
N41	perk_mito_lcl_KT261384.1_cds_ALR73784.1_2_1	18929
N41	perk_nuc_scf7180000003402_73894-74460_1	87572
N41	perk_nuc_scf7180000003591_3416-4408_1-990_1	32980
N41	perk_nuc_scf7180000003623_28906-30006_1-1100_1	32635
N41	perk_nuc_scf7180000003752_5410-7175_739-1757_1	29413
N41	perk_nuc_scf7180000003610_11439-12994_245-1203_1	0
N41	paramoeba_nuc_9042c6bc-20c4-4666-9a3b-25d3d5e60837_173-683_1	7488
N41	perk_nuc_scf7180000003402_73455-74100_1	752772
N41	perk_nuc_scf7180000003352_71298-72206_1-908_1	542604
N41	perk_nuc_scf7180000003591_3414-9913_1-2291_901	30031
N41	perk_nuc_scf7180000003334_39138-40969_372-1777_1	23632
N41	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1801	13111
N41	perk_nuc_scf7180000003602_54737-56021_1-1284_1	89852
N41	perk_nuc_scf7180000003687_22701-24808_4-2107_901	77548
N41	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1351	666
N41	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_1351	656
N41	perk_nuc_scf7180000003687_22703-23724_2-1021_1	100804
N41	perk_nuc_scf7180000003411_95621-97517_1-1896_1	22015
N41	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1	22042
N41	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_451	127700
N41	perk_nuc_scf7180000003687_28378-29539_1-1161_1	106568
N41	perk_nuc_scf7180000003660_28831-29439_1	38927
N41	perk_nuc_scf7180000003435_20352-22534_1-2182_901	0
N41	perk_nuc_scf7180000003435_21523-22534_1-1011_1	31611
N41	perk_nuc_scf7180000003334_14360-15471_115-1021_1	204006
N41	paramoeba_nuc_scf7180000003402_66620-67222_1	121430
N41	perk_nuc_scf7180000003316_105075-106432_82-1354_1	21342
N41	paramoeba_nuc_scf7180000003517_25093-25627_1	10145
N41	perk_nuc_scf7180000003478_19048-20119_1-1071_1	22774
N41	perk_nuc_scf7180000003897_23035-23940_1-905_1	16036
N41	perk_nuc_scf7180000003532_6044-7296_4-1252_1	68766
N41	paramoeba_nuc_b2668679-a471-4ab8-bea4-f5898a7a47e4_2-467_1	13653
N41	perk_nuc_scf7180000003402_72046-72895_1	11847
N41	perk_nuc_scf7180000003709_72424-73568_3-1144_1	30920
N41	paramoeba_nuc_91d69197-72f2-4926-90b3-b5a468a5a855_27-765_1	2875
N41	perk_nuc_scf7180000003560_925-2762_1-1837_901	151504
N41	perk_nuc_scf7180000003326_75881-76823_1-942_1	11174
N41	perk_nuc_scf7180000003897_16527-17683_3-1156_1	577477
N41	perk_nuc_scf7180000003913_1473-2529_1-1056_1	130725
N41	perk_nuc_scf7180000003454_34019-35215_1-1193_1	8194
N41	perk_nuc_scf7180000003515_97413-101057_1-3580_1501	27217
N41	perk_nuc_scf7180000003515_97393-101483_18-3600_901	44862
N41	paramoeba_nuc_1470934d-65f8-451a-be8f-f65c6f0f857d_1-523_1	22228
N41	paramoeba_mito_scf7180000003282_5381-6781_1	234852
N41	paramoeba_nuc_scf7180000004653_9090-9584_1	517524
N43	paramoeba_mito_scf7180000003282_17181-17683_1	949
N43	perk_mito_lcl_KT261385.1_cds_ALR73785.1_1_2251	0
N43	paramoeba_nuc_scf7180000003537_4360-5238_1	58
N43	paramoeba_mito_844d98a6-101b-424e-82ab-b4beb7985a5e_16-472_1	8112
N43	perk_mito_lcl_KT261385.1_cds_ALR73787.1_3_1	0
N43	paramoeba_mito_d9f872cc-4915-4218-bcca-14a2b2446441_79-629_1	102079
N43	paramoeba_mito_scf7180000003282_72335-73819_451	33715
N43	paramoeba_mito_scf7180000003282_2577-3764_451	9940
N43	paramoeba_nuc_2474b264-82c9-41bc-83f7-da2b5b94a433_93-564_1	1492
N43	paramoeba_mito_scf7180000003282_37622-38599_451	10470
N43	perk_mito_lcl_KT261384.1_cds_ALR73784.1_2_1	0
N43	perk_nuc_scf7180000003402_73894-74460_1	96427
N43	perk_nuc_scf7180000003591_3416-4408_1-990_1	49225
N43	perk_nuc_scf7180000003623_28906-30006_1-1100_1	24312
N43	perk_nuc_scf7180000003752_5410-7175_739-1757_1	40380
N43	perk_nuc_scf7180000003610_11439-12994_245-1203_1	0
N43	paramoeba_nuc_9042c6bc-20c4-4666-9a3b-25d3d5e60837_173-683_1	0
N43	perk_nuc_scf7180000003402_73455-74100_1	620259
N43	perk_nuc_scf7180000003352_71298-72206_1-908_1	709573
N43	perk_nuc_scf7180000003591_3414-9913_1-2291_901	5113
N43	perk_nuc_scf7180000003334_39138-40969_372-1777_1	3251
N43	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1801	10222
N43	perk_nuc_scf7180000003602_54737-56021_1-1284_1	115940
N43	perk_nuc_scf7180000003687_22701-24808_4-2107_901	142563
N43	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1351	1
N43	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_1351	0
N43	perk_nuc_scf7180000003687_22703-23724_2-1021_1	56735
N43	perk_nuc_scf7180000003411_95621-97517_1-1896_1	36974
N43	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1	5255
N43	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_451	5023
N43	perk_nuc_scf7180000003687_28378-29539_1-1161_1	122020
N43	perk_nuc_scf7180000003660_28831-29439_1	2875
N43	perk_nuc_scf7180000003435_20352-22534_1-2182_901	0
N43	perk_nuc_scf7180000003435_21523-22534_1-1011_1	19918
N43	perk_nuc_scf7180000003334_14360-15471_115-1021_1	369656
N43	paramoeba_nuc_scf7180000003402_66620-67222_1	72803
N43	perk_nuc_scf7180000003316_105075-106432_82-1354_1	19900
N43	paramoeba_nuc_scf7180000003517_25093-25627_1	10022
N43	perk_nuc_scf7180000003478_19048-20119_1-1071_1	121
N43	perk_nuc_scf7180000003897_23035-23940_1-905_1	1940
N43	perk_nuc_scf7180000003532_6044-7296_4-1252_1	58651
N43	paramoeba_nuc_b2668679-a471-4ab8-bea4-f5898a7a47e4_2-467_1	18755
N43	perk_nuc_scf7180000003402_72046-72895_1	13097
N43	perk_nuc_scf7180000003709_72424-73568_3-1144_1	63576
N43	paramoeba_nuc_91d69197-72f2-4926-90b3-b5a468a5a855_27-765_1	10
N43	perk_nuc_scf7180000003560_925-2762_1-1837_901	138144
N43	perk_nuc_scf7180000003326_75881-76823_1-942_1	14342
N43	perk_nuc_scf7180000003897_16527-17683_3-1156_1	699536
N43	perk_nuc_scf7180000003913_1473-2529_1-1056_1	242360
N43	perk_nuc_scf7180000003454_34019-35215_1-1193_1	6286
N43	perk_nuc_scf7180000003515_97413-101057_1-3580_1501	18
N43	perk_nuc_scf7180000003515_97393-101483_18-3600_901	73168
N43	paramoeba_nuc_1470934d-65f8-451a-be8f-f65c6f0f857d_1-523_1	25940
N43	paramoeba_mito_scf7180000003282_5381-6781_1	111349
N43	paramoeba_nuc_scf7180000004653_9090-9584_1	358580
N45	paramoeba_mito_scf7180000003282_17181-17683_1	77362
N45	perk_mito_lcl_KT261385.1_cds_ALR73785.1_1_2251	2031
N45	paramoeba_nuc_scf7180000003537_4360-5238_1	20740
N45	paramoeba_mito_844d98a6-101b-424e-82ab-b4beb7985a5e_16-472_1	10169
N45	perk_mito_lcl_KT261385.1_cds_ALR73787.1_3_1	40912
N45	paramoeba_mito_d9f872cc-4915-4218-bcca-14a2b2446441_79-629_1	71791
N45	paramoeba_mito_scf7180000003282_72335-73819_451	29030
N45	paramoeba_mito_scf7180000003282_2577-3764_451	16946
N45	paramoeba_nuc_2474b264-82c9-41bc-83f7-da2b5b94a433_93-564_1	20323
N45	paramoeba_mito_scf7180000003282_37622-38599_451	10310
N45	perk_mito_lcl_KT261384.1_cds_ALR73784.1_2_1	14076
N45	perk_nuc_scf7180000003402_73894-74460_1	54325
N45	perk_nuc_scf7180000003591_3416-4408_1-990_1	56983
N45	perk_nuc_scf7180000003623_28906-30006_1-1100_1	19374
N45	perk_nuc_scf7180000003752_5410-7175_739-1757_1	35147
N45	perk_nuc_scf7180000003610_11439-12994_245-1203_1	0
N45	paramoeba_nuc_9042c6bc-20c4-4666-9a3b-25d3d5e60837_173-683_1	14476
N45	perk_nuc_scf7180000003402_73455-74100_1	401167
N45	perk_nuc_scf7180000003352_71298-72206_1-908_1	371172
N45	perk_nuc_scf7180000003591_3414-9913_1-2291_901	28504
N45	perk_nuc_scf7180000003334_39138-40969_372-1777_1	13876
N45	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1801	9294
N45	perk_nuc_scf7180000003602_54737-56021_1-1284_1	73492
N45	perk_nuc_scf7180000003687_22701-24808_4-2107_901	30888
N45	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1351	10765
N45	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_1351	36447
N45	perk_nuc_scf7180000003687_22703-23724_2-1021_1	30853
N45	perk_nuc_scf7180000003411_95621-97517_1-1896_1	23200
N45	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1	8514
N45	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_451	78117
N45	perk_nuc_scf7180000003687_28378-29539_1-1161_1	74862
N45	perk_nuc_scf7180000003660_28831-29439_1	84776
N45	perk_nuc_scf7180000003435_20352-22534_1-2182_901	13
N45	perk_nuc_scf7180000003435_21523-22534_1-1011_1	31995
N45	perk_nuc_scf7180000003334_14360-15471_115-1021_1	331563
N45	paramoeba_nuc_scf7180000003402_66620-67222_1	77279
N45	perk_nuc_scf7180000003316_105075-106432_82-1354_1	19617
N45	paramoeba_nuc_scf7180000003517_25093-25627_1	14068
N45	perk_nuc_scf7180000003478_19048-20119_1-1071_1	27462
N45	perk_nuc_scf7180000003897_23035-23940_1-905_1	15270
N45	perk_nuc_scf7180000003532_6044-7296_4-1252_1	40268
N45	paramoeba_nuc_b2668679-a471-4ab8-bea4-f5898a7a47e4_2-467_1	3996
N45	perk_nuc_scf7180000003402_72046-72895_1	14180
N45	perk_nuc_scf7180000003709_72424-73568_3-1144_1	66293
N45	paramoeba_nuc_91d69197-72f2-4926-90b3-b5a468a5a855_27-765_1	11918
N45	perk_nuc_scf7180000003560_925-2762_1-1837_901	32033
N45	perk_nuc_scf7180000003326_75881-76823_1-942_1	14013
N45	perk_nuc_scf7180000003897_16527-17683_3-1156_1	121198
N45	perk_nuc_scf7180000003913_1473-2529_1-1056_1	72368
N45	perk_nuc_scf7180000003454_34019-35215_1-1193_1	2102
N45	perk_nuc_scf7180000003515_97413-101057_1-3580_1501	15253
N45	perk_nuc_scf7180000003515_97393-101483_18-3600_901	43146
N45	paramoeba_nuc_1470934d-65f8-451a-be8f-f65c6f0f857d_1-523_1	61602
N45	paramoeba_mito_scf7180000003282_5381-6781_1	44713
N45	paramoeba_nuc_scf7180000004653_9090-9584_1	400367
N46	paramoeba_mito_scf7180000003282_17181-17683_1	300
N46	perk_mito_lcl_KT261385.1_cds_ALR73785.1_1_2251	0
N46	paramoeba_nuc_scf7180000003537_4360-5238_1	88
N46	paramoeba_mito_844d98a6-101b-424e-82ab-b4beb7985a5e_16-472_1	243
N46	perk_mito_lcl_KT261385.1_cds_ALR73787.1_3_1	0
N46	paramoeba_mito_d9f872cc-4915-4218-bcca-14a2b2446441_79-629_1	196172
N46	paramoeba_mito_scf7180000003282_72335-73819_451	73920
N46	paramoeba_mito_scf7180000003282_2577-3764_451	7538
N46	paramoeba_nuc_2474b264-82c9-41bc-83f7-da2b5b94a433_93-564_1	613
N46	paramoeba_mito_scf7180000003282_37622-38599_451	15096
N46	perk_mito_lcl_KT261384.1_cds_ALR73784.1_2_1	0
N46	perk_nuc_scf7180000003402_73894-74460_1	6372
N46	perk_nuc_scf7180000003591_3416-4408_1-990_1	26954
N46	perk_nuc_scf7180000003623_28906-30006_1-1100_1	21603
N46	perk_nuc_scf7180000003752_5410-7175_739-1757_1	38814
N46	perk_nuc_scf7180000003610_11439-12994_245-1203_1	0
N46	paramoeba_nuc_9042c6bc-20c4-4666-9a3b-25d3d5e60837_173-683_1	0
